,Długość,CapsLock_śr,CapsLock_Max,CapsLock_Sum,http,font,td,statements,www,nbsp,height,pills,width,size,ect,the,to,hou,enron,for,on,i,and,deal
0,327,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,1,0,0
1,97,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2524,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,25,16,0,0,6,7,6,17,0
3,414,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,336,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,3
5,480,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,8,4,0,1,3,2,0,0,0
6,2076,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,2,0,0,8,0
7,784,1.0,1,1,1,0,0,0,0,0,0,2,0,0,0,4,2,0,0,3,3,0,4,0
8,582,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0
9,105,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,6922,1.0,1,1,0,0,0,15,0,0,0,0,0,0,0,43,32,0,0,7,3,0,31,0
11,337,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
12,136,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
13,395,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,195,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,1,1
15,9092,1.0,1,1,0,0,0,11,0,0,0,0,0,0,0,85,36,0,0,10,11,0,39,0
16,2880,1.0,1,1,0,0,0,0,0,0,0,0,0,0,86,7,3,46,12,1,3,1,5,3
17,690,1.0,1,1,0,0,0,0,0,0,0,0,0,0,6,5,2,3,6,0,2,0,1,0
18,1182,1.0,1,1,0,0,0,0,0,0,0,0,0,0,5,4,2,2,3,2,2,2,1,1
19,720,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,1,4,0
20,1666,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,4,0,7,1,4,1,4,0
21,658,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,1,0
22,98,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,182,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,0
24,7580,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,73,27,0,0,14,6,0,50,0
25,1636,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,3,0,16,5,2,0,0,0
26,2113,1.0,1,1,3,0,0,0,3,0,0,0,0,0,0,9,9,0,0,5,5,0,9,0
27,266,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1,0
28,1279,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,2,0,0,5,0
29,1382,1.0,1,1,0,0,0,0,0,0,0,0,0,0,17,4,6,9,2,1,3,1,1,0
30,1713,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,7,0,2,4,4,4,3,8
31,135,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
